Date,Title,Subtitle
09/02/2017 às 15h43,"Governo fará reunião no dia 16 para definir política de conteúdo local
",O ministro Fernando Coelho Filho afirmou que o encontro será coordenado pela Casa Civil e terá a participação do Mdic
09/02/2017 às 15h15,"Total reverte prejuízo e vê Brasil como prioridade em investimentos
","Petrolífera reverteu prejuízo de US$ 1,6 bilhão no quarto trimestre para resultado positivo de US$ 548 milhões"
09/02/2017 às 14h23,"Yara International tem prejuízo de US$ 40,12 milhões no 4º trimestre
","Perda refletiu os preços mais baixos dos fertilizantes, sobretudo do nitrogênio, no trimestre"
09/02/2017 às 14h16,"Petrobras paga R$ 3,45 milhões em multas por descumprir conteúdo local
","Ao todo, a estatal já pagou R$ 149 milhões em multas por desrespeitar os índices de conteúdo local ofertados em leilão, segundo a ANP"
09/02/2017 às 13h23,"Angra 2 é reconectada após ser desligada para reparo
",A usina havia sido desligada ontem para o reparo no sistema de óleo lubrificante de uma das bombas de refrigeração do reator
09/02/2017 às 12h21,"Coca-Cola prevê investir entre US$ 2 bilhões e US$ 2,5 bilhões em 2017
","Também neste ano, as receitas devem crescer cerca de 3% organicamente, projeta a empresa"
09/02/2017 às 11h15,"Lucro da Coty avança no 4º trimestre
","Receita líquida da multinacional de cosméticos diminuiu 7%, para US$ 2,3 bilhões"
09/02/2017 às 09h26,"Petrobras confirma possível mudança em acordo para vender Braskem
",Estatal reforça que pretende “sair integralmente” do setor petroquímico para reduzir sua alavancagem financeira
09/02/2017 às 08h27,"Thyssenkrupp reverte prejuízo e lucra no primeiro trimestre fiscal
",O conglomerado alemão registrou ganhos de 8 milhões de euros no período
09/02/2017 às 05h00,"Fundos de pensão cobram da Petrobras perdas na Sete Brasil
","Previ, Valia e Funcef entraram com representações na Câmara de Arbitragem e Mediação da Câmara de Comércio Brasil Canadá"
09/02/2017 às 05h00,"Duratex define venda de terras excedentes
",A expectativa é de que os recursos obtidos com a venda de fazendas superem R$ 100 milhões
08/02/2017 às 20h45,"Transnordestina: CSN e governo tentam desbloquear logo recursos no TCU
","Governos federal e estaduais do CE, PI e PE, além da CSN, vão pedir audiência no Tribunal para semana que vem com objetivo de tratar do tema"
08/02/2017 às 20h08,"ANP abre consulta pública sobre conteúdo local em Libra nesta quinta
","O processo terá duração de 30 dias, contados a partir da publicação no ""Diário Oficial da União"" (DOU)"
